Switzerland,1.88,0.25,8,15,2,1.63,1.8,0.57,75
Serbia,2.25,1.13,8,18,9,2,1.82,0.85,88
Spain,1.88,0.63,8,15,5,1,1.63,0.45,38
Portugal,2.2,0.7,10,22,7,2.1,2.29,0.78,50
Poland,2.91,1,11,32,11,2.18,1.69,0.83,109
Germany,3.6,0.4,10,36,4,1.2,2.93,0.53,150
England,3.9,0.3,10,39,3,1.3,2.08,0.35,170
Belgium,3.13,0.75,8,25,6,1.5,1.86,0.80,138
Wales,1.78,1.11,9,16,10,1.89,1.33,1.02,78
Netherlands,3.3,0.8,10,33,8,1.3,2.98,0.49,130
France,2.25,0.38,8,18,3,1.25,1.74,0.52,88
Croatia,2.1,0.4,10,21,4,1.6,2.29,0.66,50
Denmark,3,0.3,10,30,3,1,1.64,0.57,140
Argentina,1.59,0.47,17,27,8,1.76,1.68,1.0,35
Uruguay,1.22,1.22,18,22,22,1.72,1.42,1.33,49
Ecuador,1.5,1.06,18,27,19,2.44,1.32,1.21,67
Brazil,2.35,0.29,17,40,5,2.06,1.89,0.87,53
Peru,1.06,1.22,18,19,22,2.5,0.93,1.48,50
Ghana,1.0,0.5,8,8,4,1.63,0.88,0.77,38
Cameroon,1.75,0.63,8,14,5,1.5,1.21,1.1,25
Senegal,2,0.63,8,16,5,1.57,1.91,0.83,50
Morocco,3.13,0.38,8,25,3,1.5,1.68,0.8,50
Tunisia,1.5,0.25,8,12,2,1.88,1.13,0.76,13
Japan,3.22,0.33,18,58,6,0.71,2.61,0.62,139
Saudi Arabia,1.89,0.56,18,34,10,1.17,1.62,1.0,72
Qatar,2.25,0.13,8,18,1,1.13,2.82,0.56,50
IR Iran,2.72,0.44,18,49,8,1.72,1.86,0.9,111
Korea Republic,2.19,0.25,16,35,4,1,2.16,0.6,75
Canada,2.7,0.4,20,54,8,1.55,1.84,0.9,100
USA,1.5,0.71,14,21,10,1.07,1.52,0.83,50
Mexico,1.21,0.57,14,17,8,1.79,1.97,0.8,21
Costa Rica,0.93,0.57,14,13,8,1.29,0.91,1.54,36