Iceland,1.2,1.8,8,10,10,1.63,0.99,1.48,75
Switzerland,1.88,0.25,8,15,2,1.63,1.8,0.57,75
Serbia,2.25,1.13,8,18,9,2,1.82,0.85,88
Spain,1.88,0.63,8,15,5,1,1.63,0.45,38
Portugal,2.13,0.75,8,17,6,2.25,2.33,0.75,63
Sweden,1.5,0.75,8,12,6,2,1.46,1.16,38
Poland,3,1.1,10,30,11,2,1.66,0.75,120
Germany,3.6,0.4,10,36,4,1.2,2.93,0.53,150
England,3.9,0.3,10,39,3,1.3,2.08,0.35,170
Belgium,3.13,0.75,8,25,6,1.5,1.86,0.80,138
France,2.25,0.38,8,18,3,1.25,1.74,0.52,88
Croatia,2.1,0.4,10,21,4,1.6,2.29,0.66,50
Denmark,3,0.3,10,30,3,1,1.64,0.57,140
Russia,1.9,0.6,10,19,6,1.6,1.32,1.33,90
Argentina,1.53,0.47,15,23,7,1.8,1.63,1.07,33
Uruguay,1.19,1.38,16,19,22,1.75,1.28,1.35,44
Brazil,2.13,0.33,15,32,5,2.07,1.77,0.86,53
Colombia,1,1.19,16,16,19,2.69,1.40,1.18,69
Peru,1.06,1.31,16,17,21,2.75,0.91,1.48,56
Nigeria,1.5,0.5,6,9,3,0.67,1.35,0.49,33
Senegal,2.5,0.67,6,15,4,1.2,1.74,0.78,67
Morocco,3.33,0.17,6,20,1,1.17,1.71,0.67,50
Egypt,1.67,0.67,6,10,4,1.83,1.19,0.96,67
Tunisia,1.83,0.33,6,11,2,2,1.25,0.67,17
Japan,3.44,0.31,16,55,5,0.67,2.56,0.60,144
Australia,2.69,0.5,16,43,8,1.13,2.11,0.87,88
Saudi Arabia,2,0.56,16,32,9,1.25,1.61,1.02,75
IR Iran,2.94,0.38,16,47,6,1.81,1.96,0.87,125
Korea Republic,2.36,0.21,14,33,3,1,2.23,0.57,86
Panama,2.06,0.88,17,35,15,0.75,1.60,0.91,112
Mexico,1.27,0.73,11,14,8,1.73,1.94,0.77,27
Costa Rica,0.73,0.64,11,8,7,1.27,0.79,1.44,27